Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
20,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,43.48176586915253,1008,158,850,,0.2186666909809828
2,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,55.0889458167977,1008,158,850,,0.2767025907192086
3,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,52.501978429618,1008,158,850,,0.26376775378331013
4,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,61.87606804764222,1008,158,850,,0.3106382018734312
5,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,46.27160990722579,1008,158,850,,0.23261591117134905
6,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,55.61181459270751,1008,158,850,,0.27931693459875767
7,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,41.18131677286696,1008,158,850,,0.2071644454995549
8,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,49.700044646651605,1008,158,850,,0.24975808486847817
9,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,40.04226273259513,1008,158,850,,0.20146917529819577
10,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,43.390140173155054,1008,158,850,,0.2182085625009954
11,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_08,N,53.2873045157623,1008,158,850,,0.26769438421403163
